Frame ID; deltaT
1;0
2;0.007459602
3;0.009956665
4;0.01004758
5;0.010002893
6;0.010000967
7;0.009973231
8;0.010000967
9;0.00998941
10;0.009995188
11;0.009975927
12;0.01007339
13;0.010032171
14;0.009929699
15;0.010020614
16;0.010020228
17;0.009918913
18;0.01011538
19;0.009982091
20;0.009890791
21;0.010017917
22;0.009987099
23;0.010056825
24;0.010017147
25;0.010035637
26;0.009962444
27;0.009951273
28;0.010045653
29;0.010011368
30;0.009968608
31;0.01002254
32;0.009943182
33;0.010061063
34;0.010288349
35;0.009734773
36;0.009901962
37;0.010044498
38;0.010019073
39;0.009975927
40;0.01005721
41;0.009985558
42;0.009967067
43;0.010022925
44;0.009970534
45;0.010049506
46;0.009994418
47;0.009993262
48;0.009971689
49;0.010047965
50;0.009940101
51;0.010042186
52;0.0099975
53;0.010004049
54;0.010000582
55;0.01018973
56;0.009938559
57;0.009810663
58;0.010054514
59;0.009995189
60;0.009991336
61;0.010096889
62;0.009944724
63;0.009969378
64;0.010075316
65;0.009907356
66;0.009962059
67;0.010061833
68;0.009971689
69;0.010021384
70;0.009952814
71;0.01002331
72;0.010040646
73;0.009979394
74;0.009952813
75;0.010044883
76;0.010083021
77;0.010027933
78;0.00993124
79;0.009943953
80;0.009996729
81;0.010029474
82;0.010067227
83;0.009965526
84;0.009964755
85;0.010029089
86;0.009962058
87;0.009984402
88;0.010099971
89;0.009929315
90;0.01001445
91;0.009996344
92;0.01001522
93;0.010028318
94;0.009912364
95;0.010059137
96;0.009936634
97;0.010029859
98;0.009997885
99;0.010145043
100;0.010005975
101;0.009833777
102;0.009995959
103;0.010064915
104;0.009965526
105;0.01003217
106;0.009984017
107;0.009999426
108;0.010059522
109;0.010019843
110;0.009873841
111;0.010033712
112;0.00999904
113;0.010029474
114;0.010005975
115;0.010069538
116;0.009937789
117;0.009966297
118;0.010084947
119;0.00993933
120;0.010051047
121;0.010014835
122;0.010134257
123;0.009777148
124;0.010120388
125;0.00988116
126;0.010000967
127;0.009986714
-128;0.010048735
-127;0.009941642
-126;0.01008148
-125;0.009979394
-124;0.009921224
-123;0.010055669
-122;0.009995959
-121;0.009966682
-120;0.010068767
-119;0.010058752
-118;0.009993647
-117;0.010022155
-116;0.009844949
-115;0.010048735
-114;0.010045269
-113;0.010057595
-112;0.009997885
-111;0.009877308
-110;0.010001738
-109;0.009982476
-108;0.010032555
-107;0.010029089
-106;0.009965526
-105;0.010021384
-104;0.010011368
-103;0.009943183
-102;0.01009843
-101;0.009948961
-100;0.010078013
-99;0.009878849
-98;0.010032555
-97;0.009992877
-96;0.010034868
-95;0.009960517
-94;0.009999426
-93;0.010017917
-92;0.01000559
-91;0.010003278
-90;0.010208607
-89;0.009738625
-88;0.010000581
-87;0.010069153
-86;0.009941256
-85;0.010084177
-84;0.009996344
-83;0.009934322
-82;0.009994803
-81;0.010012909
