Frame ID; deltaT
3;0
4;0.004362767
5;5.1159E-4
6;0.002075251
7;0.002910052
8;0.002021704
9;0.003028704
10;0.001934641
11;0.00302986
12;0.002022089
13;0.002958206
14;0.002007065
15;0.002950501
16;0.002042892
17;0.002975157
18;0.002055604
19;0.002945879
20;0.001980484
21;0.003015606
22;0.001998975
23;0.003034097
24;0.00192424
25;0.003071079
26;0.001971624
27;0.003117693
28;0.001953517
29;0.002869988
30;0.002053678
31;0.003016377
32;0.001997434
33;0.002979779
34;0.002045203
35;0.002980165
36;0.002011303
37;0.002998655
38;0.002016696
39;0.00294819
40;0.002091431
41;0.002944723
42;0.001958911
43;0.002977853
44;0.001991271
45;0.003088415
46;0.001919617
47;0.003024466
48;0.002066391
49;0.002987484
50;0.002002828
51;0.003007901
52;0.002028253
53;0.002884626
54;0.002017852
55;0.003028704
56;0.001951591
57;0.003092653
58;0.001913838
59;0.003061064
60;0.001948509
61;0.003010983
62;0.001969698
63;0.003067997
64;0.002023631
65;0.002984787
66;0.002004754
67;0.00299904
68;0.002035573
69;0.003051432
70;0.001965075
71;0.00306453
72;0.0019566
73;0.003257147
74;0.00162684
75;0.003023311
76;0.001985492
77;0.003025236
78;0.001931175
79;0.002996344
80;0.00205753
81;0.003015221
82;0.001938494
83;0.002999426
84;0.002156921
85;0.002895798
86;0.001944657
87;0.002984787
88;0.002045974
89;0.003000197
90;0.002010917
91;0.003108062
92;0.001881094
93;0.002985557
94;0.002014
95;0.003073391
96;0.001895732
97;0.002998656
98;0.001994352
99;0.003002893
100;0.00205522
101;0.002980164
102;0.002043277
103;0.002990181
104;0.002014769
105;0.002970534
106;0.002019393
107;0.002951271
108;0.001977403
109;0.003043342
110;0.001975476
111;0.003058752
112;0.002052523
113;0.002883085
114;0.002013229
115;0.002978624
116;0.002050982
117;0.003050276
118;0.001935027
119;0.00296437
120;0.002069473
121;0.002942796
122;0.002069088
123;0.002982476
124;0.001985107
125;0.003017146
126;0.001969313
127;0.003029859
-128;0.002001672
-127;0.003024851
-126;0.001984337
-125;0.002936633
-124;0.002053293
-123;0.002963214
-122;0.001992812
-121;0.003033326
-120;0.002091046
-119;0.002849185
-118;0.002000902
-117;0.00299827
-116;0.002009762
-115;0.003024466
-114;0.002008221
-113;0.00300559
-112;0.001963148
-111;0.003010213
-110;0.002061768
-109;0.002987099
-108;0.002057916
-107;0.003025621
-106;0.001935412
-105;0.002972845
-104;0.001987033
-103;0.002971689
-102;0.002062154
-101;0.002918912
-100;0.002060228
-99;0.002979779
-98;0.00202363
-97;0.002941256
-96;0.002057145
-95;0.002991721
-94;0.002021704
-93;0.002976698
-92;0.001955829
-91;0.003009827
-90;0.002008992
-89;0.003033326
-88;0.001946969
-87;0.003073391
-86;0.001991655
-85;0.002999426
-84;0.001955444
-83;0.003110759
-82;0.001922314
-81;0.002974386
-80;0.002033261
-79;0.002951271
-78;0.002014385
-77;0.002999426
-76;0.002034032
-75;0.002978238
-74;0.002002057
-73;0.003018688
-72;0.002060227
-71;0.002957821
-70;0.001996278
-69;0.003009442
-68;0.00195737
-67;0.003009443
-66;0.002013614
-65;0.002964369
-64;0.002013615
-63;0.003026777
-62;0.001967001
-61;0.002968607
-60;0.002076793
-59;0.002948575
-58;0.00200668
-57;0.003004819
-56;0.001960452
-55;0.00302177
-54;0.002018237
-53;0.003013294
-52;0.001960067
-51;0.003047965
-50;0.0019566
-49;0.003049121
-48;0.001978558
-47;0.003025236
-46;0.001953133
-45;0.003029859
-44;0.002016696
-43;0.003000967
-42;0.002009762
-41;0.002952813
-40;0.00211493
-39;0.002861513
-38;0.002065235
-37;0.002982861
-36;0.001963534
-35;0.003012909
-34;0.00200668
-33;0.003016762
-32;0.002008991
-31;0.003022925
-30;0.001983951
-29;0.002938174
-28;0.002025172
-27;0.003005975
-26;0.001998204
-25;0.003015221
-24;0.002001287
-23;0.00300713
-22;0.00203981
-21;0.002963985
-20;0.002001286
-19;0.003021
-18;0.001948509
-17;0.002978624
