Frame ID; deltaT
8;0
11;0.004437502
12;3.6366E-4
13;0.002114931
14;9.78107E-4
15;0.001119873
16;0.001008541
17;0.001806358
18;9.80034E-4
19;0.001059006
20;0.001016245
21;0.001958526
22;0.001015475
23;0.001067096
24;9.53837E-4
25;0.001958911
26;9.60002E-4
27;0.001038203
28;0.001095604
29;0.001948124
30;9.79648E-4
31;0.001165716
32;7.55442E-4
33;0.002142282
34;8.79488E-4
35;0.00106594
36;9.4883E-4
37;0.002041736
38;0.001007
39;0.001092136
40;0.001002377
41;0.001867225
42;9.72329E-4
43;0.00108289
44;9.63469E-4
45;0.001975861
46;9.81574E-4
47;0.00119692
48;7.9204E-4
49;0.002140355
50;8.61767E-4
51;0.001065555
52;9.56535E-4
53;0.002017081
54;0.001008155
55;0.001069793
56;9.42666E-4
57;0.002099521
58;9.04527E-4
59;9.83501E-4
60;0.001143757
61;0.001946584
62;9.08765E-4
63;0.001125266
64;9.30724E-4
65;0.002087194
66;7.94736E-4
67;9.87738E-4
68;0.001088669
69;0.001998975
70;9.9082E-4
71;9.83115E-4
72;0.001028573
73;0.001950821
74;0.001132971
75;9.04143E-4
76;9.67705E-4
77;0.001995894
78;0.001019327
79;0.00112257
80;8.9297E-4
81;0.001984337
82;0.001006614
83;0.001030499
84;9.13003E-4
85;0.002082186
86;9.84271E-4
87;0.001175731
88;7.8472E-4
89;0.001970854
90;0.001044367
91;0.001047064
92;9.93516E-4
93;0.001973936
94;9.42665E-4
95;0.001151463
96;9.26871E-4
97;0.00201477
98;9.261E-4
99;0.001034351
100;0.001119488
101;0.001901126
102;0.001027803
103;0.001068637
104;8.86807E-4
105;0.001946968
106;9.99295E-4
107;9.94673E-4
108;0.001075186
109;0.001995893
110;9.85812E-4
111;0.001083661
112;9.21863E-4
113;0.001946584
114;0.001060161
115;9.76182E-4
116;0.001034351
117;0.001955058
118;0.001055925
119;9.37272E-4
120;0.001033196
121;0.002032105
122;9.10691E-4
123;0.001513582
124;5.86325E-4
125;0.001962378
126;0.001046293
127;0.001103694
-128;8.06293E-4
-127;0.002043277
-126;9.76951E-4
-125;0.001027418
-124;9.81189E-4
-123;0.001967386
-122;0.001063243
-121;0.001211559
-120;7.46967E-4
-119;0.002050212
-118;9.79262E-4
-117;0.001010467
-116;9.88509E-4
-115;0.00268469
-114;3.42087E-4
-113;0.001055539
-112;8.81029E-4
-111;0.002126873
-110;9.26485E-4
-109;0.001053999
-108;0.001004303
-107;0.001952362
-106;0.001068251
-105;0.001102538
-104;8.73709E-4
-103;0.001986263
-102;9.36502E-4
-101;0.001071333
-100;9.0838E-4
-99;0.00196546
-98;0.001051302
-97;0.001132585
-96;8.63693E-4
-95;0.001982411
-94;9.85426E-4
-93;9.80419E-4
-92;0.001027802
-91;0.001988574
-90;0.00103281
-89;9.69632E-4
-88;9.70018E-4
-87;0.002020548
-86;9.94672E-4
-85;0.001079809
-84;9.56919E-4
-83;0.001973165
-82;9.9891E-4
-81;0.001170338
-80;8.27096E-4
-79;0.002067547
-78;9.49985E-4
-77;0.00100777
-76;0.001001222
-75;0.002026712
-74;0.001050531
-73;0.001076341
