Frame ID; deltaT
1;0
2;0.00441397
3;0.002456614
4;0.004952908
5;0.004993356
6;0.005015315
7;0.005112778
8;0.00498912
9;0.00494867
10;0.00494058
11;0.004991816
12;0.005007995
13;0.005002602
14;0.004973325
15;0.005031109
16;0.005031109
17;0.004942892
18;0.005078107
19;0.005102763
20;0.004836567
21;0.005017241
22;0.004973325
23;0.005044978
24;0.005048059
25;0.004959457
26;0.005062698
27;0.004939809
28;0.005020708
29;0.004950982
30;0.004992971
31;0.005028028
32;0.00499952
33;0.004939039
34;0.005866674
35;0.004238306
36;0.005027256
37;0.005717976
38;0.00417166
39;0.005009151
40;0.005009922
41;0.004962153
42;0.005091205
43;0.00497371
44;0.004978718
45;0.004970243
46;0.005058845
47;0.00491477
48;0.005175571
49;0.004865845
50;0.005073485
51;0.004934031
52;0.004976021
53;0.005044978
54;0.004993357
55;0.005022249
56;0.004988348
57;0.005022635
58;0.004935572
59;0.005016085
60;0.00509005
61;0.004892811
62;0.005011463
63;0.00504151
64;0.004997209
65;0.004931335
66;0.00510777
67;0.005011463
68;0.00498257
69;0.004951366
70;0.005098525
71;0.00496485
72;0.005019552
73;0.004997979
74;0.004893582
75;0.005131655
76;0.004973325
77;0.004952522
78;0.004948285
79;0.005030338
80;0.004959842
81;0.005027257
82;0.004955989
83;0.005045363
84;0.004979103
85;0.004991816
86;0.005012618
87;0.005042281
88;0.005018012
89;0.00491477
90;0.005136662
91;0.004910532
92;0.005025331
93;0.004992971
94;0.004951367
95;0.005050756
96;0.004950981
97;0.004992972
98;0.005027642
99;0.004965235
100;0.004994512
101;0.005078878
102;0.004970628
103;0.005023405
104;0.004971399
105;0.004995668
106;0.005026101
107;0.005013774
108;0.004959456
109;0.005011848
110;0.005518811
111;0.004474451
112;0.005187128
113;0.004860837
114;0.005050756
115;0.004933261
116;0.004925942
117;0.005041125
118;0.004977947
119;0.005004914
120;0.005049215
121;0.005014544
122;0.004971014
123;0.004984881
124;0.005050371
125;0.004969473
126;0.005028027
127;0.004960612
-128;0.004979103
-127;0.005010307
-126;0.004974095
-125;0.005068092
-124;0.004937498
-123;0.005034191
-122;0.004983726
-121;0.004977948
-120;0.005050756
-119;0.004975636
-118;0.005127031
-117;0.004828093
-116;0.005076567
-115;0.004960997
-114;0.005029954
-113;0.004976406
-112;0.005041125
-111;0.004968317
-110;0.005057305
-109;0.004946744
-108;0.004972939
-107;0.004975637
-106;0.005081959
-105;0.004959071
-104;0.005026872
-103;0.0050157
-102;0.005081189
-101;0.004920163
-100;0.005020323
-99;0.00494058
-98;0.005053453
-97;0.004953293
-96;0.005023404
-95;0.004924786
-94;0.005017626
-93;0.005012619
-92;0.005048829
-91;0.004997595
-90;0.004998364
-89;0.004947515
-88;0.005011847
-87;0.005058076
-86;0.004928253
-85;0.0050496
-84;0.005016085
-83;0.004963309
-82;0.005083501
-81;0.00486623
-80;0.005041896
-79;0.005049215
-78;0.004939039
-77;0.004994898
-76;0.005095828
-75;0.004915155
-74;0.005018782
-73;0.005019937
-72;0.004986808
-71;0.004976792
-70;0.005102377
-69;0.00489859
-68;0.005057305
-67;0.004992586
-66;0.004922089
-65;0.005040355
-64;0.005032265
-63;0.004973325
-62;0.005044592
-61;0.004922089
-60;0.005005299
-59;0.005045748
-58;0.005159776
-57;0.004939425
-56;0.00497371
-55;0.004869312
-54;0.005039199
-53;0.005119327
-52;0.004910532
-51;0.004992972
-50;0.004991045
-49;0.004987578
-48;0.004985653
-47;0.00505846
-46;0.005077337
-45;0.004920548
-44;0.004959071
-43;0.005002988
-42;0.005034191
-41;0.004926327
-40;0.005043822
-39;0.004989504
-38;0.004981414
-37;0.005024561
-36;0.005035732
-35;0.0049818
-34;0.005088894
-33;0.004899745
-32;0.004994127
-31;0.005010307
-30;0.005002602
-29;0.004967932
-28;0.005069632
-27;0.004998365
-26;0.004986808
-25;0.005009151
-24;0.00502379
-23;0.004952137
-22;0.005046133
-21;0.004927482
-20;0.004994128
-19;0.005068091
-18;0.004963309
-17;0.004966005
-16;0.004984496
-15;0.005083501
-14;0.005038044
-13;0.004987578
-12;0.005094287
-11;0.004952522
-10;0.004875862
-9;0.005021863
-8;0.004966776
-7;0.005019938
-6;0.004989504
-5;0.005003758
-4;0.005046519
-3;0.004946743
-2;0.005064625
-1;0.004967931
0;0.005026101
1;0.00497294
2;0.005000676
3;0.004991816
4;0.004983726
5;0.00503342
6;0.004978333
7;0.005021479
8;0.005015314
9;0.004954834
10;0.004969087
11;0.005031495
12;0.005005299
13;0.004981029
14;0.005016085
15;0.005071944
16;0.005120483
17;0.004811142
18;0.005104304
19;0.004945202
20;0.004948285
21;0.004959842
22;0.005048059
23;0.004964465
24;0.005118556
25;0.004890886
26;0.005061542
27;0.005011463
28;0.004926326
29;0.00503111
30;0.005023789
31;0.00505692
32;0.004986038
33;0.004888959
34;0.005046133
35;0.004962538
36;0.005060772
37;0.004980644
38;0.005069248
39;0.004906294
40;0.005155154
41;0.004812683
42;0.005057305
43;0.004982185
44;0.004992201
45;0.005012618
46;0.005013774
47;0.005037273
48;0.005004914
49;0.004981029
50;0.004941736
51;0.005055379
52;0.005081189
53;0.004882411
54;0.005101606
55;0.004888574
56;0.005066165
57;0.004951752
58;0.005009151
59;0.004952522
60;0.005126262
61;0.004868542
62;0.005052682
63;0.004997209
64;0.005028027
65;0.005011463
66;0.004949055
67;0.005002217
68;0.005004528
69;0.005008766
70;0.005026872
71;0.005006069
72;0.005010693
73;0.004941735
74;0.004981415
75;0.005180579
76;0.0048331
77;0.005099295
78;0.005040741
79;0.004841575
80;0.005039585
81;0.005042281
82;0.004980644
83;0.005038043
84;0.00494058
85;0.005000677
86;0.005007225
87;0.004999135
88;0.004962538
89;0.005018782
90;0.005040355
91;0.005004528
92;0.004970243
93;0.00500684
94;0.005023404
95;0.005003758
96;0.004979489
97;0.005027257
98;0.004931334
99;0.004984111
100;0.005028028
101;0.004978718
102;0.005127417
103;0.004920548
104;0.005054608
105;0.004996054
106;0.004994897
107;0.004918622
108;0.00504806
109;0.004964849
110;0.005027257
111;0.004993742
112;0.005059616
113;0.004895123
114;0.005057305
115;0.005029569
116;0.004992586
117;0.004973325
118;0.004986037
119;0.004990275
120;0.004970628
121;0.00503265
122;0.005100066
123;0.0062442
124;0.003865402
125;0.004863919
126;0.005011077
127;0.004932105
-128;0.004971399
-127;0.005067321
-126;0.005019937
-125;0.004972169
-124;0.004992587
-123;0.004986037
-122;0.005016085
-121;0.00499066
-120;0.005068477
-119;0.004910147
-118;0.004962153
-117;0.005063083
-116;0.004998365
-115;0.004994512
-114;0.005076567
-113;0.004936728
-112;0.005002602
-111;0.005030339
-110;0.005039199
-109;0.004882025
-108;0.00502456
-107;0.004994513
-106;0.005009921
-105;0.0049818
-104;0.00496485
-103;0.005055379
-102;0.005014159
-101;0.004945973
-100;0.005054994
-99;0.004967546
-98;0.005046518
-97;0.004999521
-96;0.004940965
-95;0.005101607
-94;0.004886262
-93;0.005053838
-92;0.005033806
-91;0.004977562
-90;0.005133966
-89;0.004907836
-88;0.005002987
-87;0.004974866
-86;0.004964079
-85;0.004988349
-84;0.00501647
-83;0.004997594
-82;0.005026872
-81;0.004920548
-80;0.005042667
-79;0.005001061
-78;0.004988349
-77;0.005006069
-76;0.005033035
-75;0.005003373
-74;0.004970628
-73;0.005014159
-72;0.005142441
-71;0.004934417
-70;0.004973324
-69;0.004929023
-68;0.005080419
-67;0.004938269
-66;0.005076181
-65;0.004979489
-64;0.005111622
-63;0.004860838
-62;0.005104688
-61;0.004935572
-60;0.004954834
-59;0.004967161
-58;0.004981799
-57;0.00501416
-56;0.004987193
-55;0.00503265
-54;0.005113163
-53;0.004896279
-52;0.005075025
-51;0.004944433
-50;0.004942506
-49;0.005044207
-48;0.004997594
-47;0.005111623
-46;0.005005684
-45;0.004916696
-44;0.005002602
-43;0.004963694
-42;0.005164014
-41;0.004841576
-40;0.004977947
-39;0.005020708
-38;0.004999135
-37;0.005001832
-36;0.004983726
-35;0.004996439
-34;0.005039969
-33;0.004983341
-32;0.004961768
-31;0.005035732
-30;0.005016856
-29;0.004949055
-28;0.00512395
-27;0.004853518
-26;0.00503265
-25;0.004976406
-24;0.004991431
-23;0.005065395
-22;0.004977562
-21;0.005018011
-20;0.004954449
-19;0.005018397
-18;0.004972169
-17;0.005004913
-16;0.005051141
-15;0.00500684
-14;0.005024561
-13;0.004964849
-12;0.004970243
-11;0.005048445
-10;0.005004528
-9;0.004940195
-8;0.005043822
-7;0.004996053
-6;0.005011848
-5;0.004917081
-4;0.005031109
-3;0.005007996
-2;0.0050157
-1;0.004982185
0;0.005083886
1;0.004905524
2;0.005014544
3;0.004985267
4;0.005073485
5;0.004944047
6;0.005031495
7;0.005023019
8;0.005023405
9;0.004934031
10;0.004972554
11;0.005087738
12;0.004947129
13;0.004984882
14;0.00508196
15;0.004942121
16;0.004976792
17;0.005053452
18;0.004961768
19;0.004985652
20;0.005010307
21;0.005033421
22;0.00498334
23;0.004978333
24;0.005028027
25;0.004957531
26;0.005053838
27;0.004964849
28;0.005031109
29;0.004998365
30;0.004994898
31;0.004993742
32;0.005009151
33;0.00500761
34;0.004926712
35;0.00503265
36;0.005044978
37;0.004955604
38;0.004986422
39;0.004994898
40;0.00506501
41;0.004994897
42;0.005011463
43;0.004993356
44;0.005151302
45;0.004837723
46;0.005139745
47;0.004853903
48;0.004970243
49;0.00498257
50;0.005093517
51;0.004917466
52;0.005009921
53;0.004987579
54;0.005066165
55;0.004936728
56;0.005069247
57;0.004927097
58;0.005095057
59;0.004925942
60;0.005006454
61;0.004991816
62;0.005086583
63;0.0049244
64;0.004971013
65;0.004981415
66;0.005044592
67;0.005044593
68;0.004968702
69;0.004964464
70;0.005054223
71;0.004922474
72;0.00499875
73;0.005013389
74;0.0050496
75;0.005016856
76;0.00494867
77;0.005037658
78;0.00497371
79;0.005072329
80;0.004886263
81;0.004999905
82;0.005036118
83;0.00504883
84;0.004922859
85;0.005062313
86;0.005193677
87;0.004812683
88;0.004975251
89;0.004988734
90;0.004976792
91;0.005033421
92;0.004977947
93;0.004976021
94;0.00513127
95;0.004905909
96;0.00506501
97;0.004906294
98;0.005024175
99;0.00505615
100;0.005010306
101;0.004943662
102;0.004960612
103;0.005074256
104;0.004945202
105;0.005009537
106;0.005038043
107;0.004974095
108;0.004992587
109;0.00504883
110;0.004977177
111;0.005022249
112;0.004984881
113;0.00497371
114;0.005021479
115;0.005021093
116;0.005029568
117;0.004941736
118;0.005056535
119;0.004926711
120;0.005046519
121;0.004990275
122;0.004997209
123;0.00495753
124;0.005026101
125;0.004992587
126;0.00503342
127;0.00496485
-128;0.005020708
-127;0.005085427
-126;0.004968702
-125;0.004979873
-124;0.004957145
-123;0.004982956
-122;0.005189054
-121;0.004813069
-120;0.005078877
-119;0.005014545
-118;0.00493172
-117;0.004972554
-116;0.005101221
-115;0.00489782
-114;0.005055378
-113;0.004920934
-112;0.005001446
-111;0.005092361
-110;0.004922475
-109;0.005072329
-108;0.004925941
-107;0.005051526
-106;0.004945974
-105;0.005081189
-104;0.0050157
-103;0.004913999
-102;0.005020708
